,Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
0,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,0.0,0.0004714285714285,0.0,0.0004714285714285,0.0,0.0,0.0004714285714285,0.0004714285714285,0.0,0.0,0.0,0.0,0.0,0.0004714285714285,0.0,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0004714285714285,0.0,0.0,0.0004714285714285,0.0,0.0,28.0,0.0
1,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,16.0,0.4651161245537485,0.0,0.0292066640222134,0.0,0.0,0.2497169773899246,0.5006508991141082,0.0,0.0,0.0,0.0,0.0,0.0425930516990612,0.0,0.0009735554674071,0.0012169443342588,0.0610906055797963,0.351453523733968,0.0009735554674071,0.0243388866851778,0.3276014147824937,0.0014603332011106,0.0,0.0,0.3928296310987703,23.09269672,47.84930212,18.9108516,26.14188487
2,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,32.0,0.1045232720355104,0.0,0.02792817586134,0.0,0.0,0.2201072077784823,0.3802103149439864,0.0,0.0,0.0,0.0,0.0,0.0251630099344747,0.0,0.0027651659268653,0.0008295497780596,0.1216673007820756,0.7009695624603677,0.0011060663707461,0.0207387444514901,0.2933841048404143,0.0008295497780596,0.0,0.0,0.2801113083914605,23.99626736,38.91521816,17.97713735,26.88474829
3,PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,48.0,0.1248519577988988,0.0,0.0121939958783181,0.0,0.0,0.2682679093229984,0.3339698871151302,0.0,0.0,0.0,0.0,0.0,0.0136499953861769,0.0,0.0016379994463412,0.0010919996308941,0.1708979422349358,0.6056957952692934,0.000545999815447,0.0236599920027067,0.18818793639076,0.0023659992002706,0.0,0.0,0.2249519239641967,24.8392188,34.32591404,19.40697135,31.6280605
4,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,0.0,0.0,0.0,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0,0.0,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0003882352941176,0.0,0.0,0.0,0.0,0.0,28.0,0.0
5,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,16.0,0.0,0.0,0.0074129676750541,0.1792193949674865,0.196516319542613,0.1716610749850783,0.0,0.0,0.0597397983224955,0.0045059215279741,0.0162794584236484,0.1892487041749128,0.2037839349103131,0.0,0.002761693839726,0.000290704614708,0.0780541890491,0.0715133352181698,0.000436056922062,0.0162794584236484,0.3411418653598467,0.00145352307354,0.0,0.0,0.0,15.42877712,48.66637932,38.993601,13.71602896
6,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,32.0,0.0,0.0,0.005350554917719,0.1361802525832376,0.178121699196326,0.1708725602755453,0.0,0.0,0.0491905855338691,0.0050053578262533,0.016396861844623,0.104076923076923,0.2066004592422502,0.0,0.0036245694603903,0.0008629927286643,0.1061481056257175,0.2706345197091465,0.0001725985457328,0.017777650210486,0.2293834672789896,0.0017259854573287,0.0,0.0,0.0,15.86674792,48.02475820000001,42.64385516,13.20005168
7,BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,48.0,0.0,0.0,0.0073707760300859,0.1692598204727003,0.238277086936232,0.2585132174915588,0.0,0.0,0.0406062752202915,0.0022782398638447,0.0033503527409481,0.0166177495951028,0.0997064975706168,0.0,0.0025462680831205,0.0002680282192758,0.1341481237475637,0.3725592247934338,0.0005360564385517,0.0339055697383952,0.2445757500892146,0.0008040846578275,0.0,0.0,0.0,17.3248908,44.27463468,41.00652828,16.93067403
8,PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,0.0,0.0,0.00044,0.0,0.0,0.00044,0.00044,0.00044,0.00044,0.0,0.0,0.0,0.00044,0.0,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.0,0.0,0.00044,0.0,0.00044,0.0,0.0,28.0,0.0
9,PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,16.0,0.0,0.0211990675990675,0.0,0.0,0.2487104895104894,0.2447356643356642,0.4798181818181817,0.1217053613053612,0.0,0.0,0.0,0.2138834498834498,0.0,0.0800643356643356,0.0007571095571095,0.0007571095571095,0.0497799533799533,0.2252400932400932,0.0011356643356643,0.0113566433566433,0.0,0.0,0.027255944055944,0.0,0.4336344988344987,25.93951568,45.5942904,16.28175639,18.88419378
