,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.326422292,0.126519556,0.831994424,0.322401076,0.729792695,0.347405066,0.129767304
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.095413833,0.098275634,0.088808188,0.098297537,0.112773939,0.198391421,0.372797562
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.501119589,0.679340645,0.005172224,0.052743888,0.006673248,0.000480173,0.00018586
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.006137004,0.0,0.000843696,0.0,0.000434353,0.255932136,0.477325106
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.019198872,0.000264271,0.0,0.368743332,0.000276407,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.0,0.0,0.043835516,0.0,3.95e-05,0.148173342,3.72e-05
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.001243987,0.000132135,0.002457723,0.018787401,0.000315893,0.017726381,0.002862241
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.010408028,0.09444371,0.000220095,0.000139166,0.009555775,0.00064023,0.000111516
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae,0.000829325,6.61e-05,0.0,0.107621654,0.0017769,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Intrasporangiaceae,0.0,0.0,0.000440189,0.0,0.063178677,8e-05,0.000148688
