,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.485444631,0.599018425,0.670617329,0.05446751,0.251543411,0.00124026,0.643257157
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.005830537,0.007592294,0.003748964,0.727432793,0.006694626,0.372574197,0.001808759
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.189974832,0.301942814,0.102129675,3.83e-05,5.21e-05,0.0,0.004382761
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.006963087,0.011727382,0.003262256,0.011661584,0.00119826,0.556906061,0.002626178
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.07227349,0.0,0.000342011,0.075379257,1.3e-05,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.009563758,0.00058298,0.002249378,0.0,0.0,0.00731024,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,8.39e-05,0.0,0.0,0.0,0.520201099,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae,0.000671141,0.000664326,0.000157851,0.004937673,0.0,0.005763563,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.047357383,0.022166786,0.047210639,0.028541536,0.030855193,2.92e-05,0.034262061
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.008011745,0.002657303,0.019941858,0.0,0.158704316,0.0,0.02768792
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],0.029739933,0.003958839,0.048565528,0.004299731,0.004076689,2.92e-05,0.133987269
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,0.03125,0.00732114,0.026229594,0.0,0.010458725,0.0,0.031861978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.006459732,0.004528261,0.008734429,0.020847953,0.00342546,0.000218869,0.019757209
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.028104027,0.005802682,0.023703977,0.0,0.002044857,0.0,0.039618769
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.031501678,0.0,0.0,0.0,0.000481909,0.0,0.028627083
