,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.305965293,0.619409679,0.24664314,0.21025641,0.098500869,0.062472061,0.022369762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.293275488,0.077185938,0.453348253,0.231111111,0.542177734,0.019780957,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.12483731,0.000128145,4.3e-05,0.260683761,0.020912637,0.449038891,0.075814761
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.073752711,0.1161847,0.081640558,0.025982906,0.127261619,0.006928923,0.191024546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.011605206,8.54e-05,0.000215183,0.017264957,0.000516942,0.231001341,0.117138213
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.003036876,0.035923284,0.014503357,0.003931624,0.075802434,0.012963791,0.26488333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.002928416,0.054803298,0.00025822,0.000854701,0.013299497,0.02983907,0.003498719
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.014208243,0.0,0.0,0.076239316,0.0,0.037103263,0.093473649
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,0.040455531,0.0,0.0,0.038290598,9.4e-05,0.012405007,0.108074603
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.013340564,8.54e-05,0.136598382,0.006495726,0.03026458,0.001117568,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.036767896,0.0,0.0,0.02,0.016824099,0.050290568,0.015454971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.031127983,0.0,0.0,0.041025641,0.0,0.051408136,0.000165294
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.022885033,0.001452309,0.00154932,0.048376068,0.003477607,0.014081359,0.015702912
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.001084599,0.003118192,0.00877948,0.003760684,0.058978335,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.003362256,0.000128145,0.01962472,0.0,0.002020772,0.0,0.044822171
