,1,2,3,4,5,6,7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.000157056,0.851560301,0.094143778,0.531265333,0.057234605,0.029172273,0.37010742
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.002030514,0.0,0.126096046,0.173972881,0.015849847,0.308937563,0.150607634
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.000538479,0.0,0.199175425,0.062363121,0.285331593,0.135471431,0.100898442
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.00145838,0.058099087,0.181987109,0.042820043,0.168097675,0.075101611,0.090584277
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.000717972,0.066895886,0.140671273,0.097954739,0.092918226,0.098572598,0.104760473
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.000190711,0.0,0.019467511,0.0,0.03927259,0.090207937,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.979459278,0.001467809,0.0,2.39e-05,1.72e-05,0.0,0.0006244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,5.61e-05,0.0,0.013631613,0.0,0.077394649,0.043376937,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.000908683,0.0,0.052711805,0.0,0.080485627,0.02190348,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.000123401,1.01e-05,0.036684862,0.0,0.045093931,0.03233503,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,2.24e-05,0.0,0.05079554,0.037626108,0.04524848,5.55e-05,0.046656568
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.000224366,0.0,0.01993206,1.2e-05,0.017395336,0.023318398,0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.000246803,0.0,0.025608269,1.2e-05,0.021636844,0.061826354,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,3.37e-05,0.0,2.9e-05,0.0,3.43e-05,0.017617112,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.000258021,0.0,0.00010162,0.026460345,0.000240409,1.39e-05,0.111016038
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,1.12e-05,0.0,0.010307183,0.0,0.015575094,0.002205607,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.0,0.008897334,0.004732594,0.007575486,0.001648521,0.00581226,0.019263902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae,0.0,0.0,0.007636026,0.0,0.013016451,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],0.0,0.0,0.002134022,0.0,0.009187073,0.004272496,0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,1.12e-05,0.0,0.004587422,0.0,0.001734382,0.010598011,0.0
