,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.000564717,0.000371715,0.876789945,0.084346091,0.184161033,0.031943114,0.000320102
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.1231082,0.015268922,0.0,0.145897575,0.542011894,0.285682706,0.062580026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.001242376,0.407600149,5.15e-05,6.05e-05,0.136633965,0.024537617,0.47631242
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.560763497,0.018185457,0.0,0.000362779,0.000660804,0.179131973,0.117317542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.077817935,0.121636691,0.0,0.294697382,0.048187872,0.350121583,0.047855314
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.00101649,0.000142967,0.057793345,0.135195598,0.022721496,0.042738192,0.001120359
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.009374294,0.006261974,0.0,6.05e-05,0.024551416,0.0268219,0.021927017
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.005534222,0.036342321,0.0,6.05e-05,0.0,0.0,0.017445583
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.0,0.0,0.057690327,0.272749259,0.001524933,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.14806867,0.002802162,0.0,0.0,0.0,0.0,0.113636364
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.000225887,0.000943585,0.007365818,0.029687406,0.000152493,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.021346284,0.000142967,0.0,0.00441381,0.000304987,0.013447793,0.002560819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.002710639,0.224601836,0.0,0.0,0.0,0.0,0.001440461
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.014117913,0.001172333,0.0,0.0,0.025771362,0.013447793,0.081145967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.029704089,0.002744975,0.0,0.0,0.002287399,0.008952914,0.025928297
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.0,0.068367026,0.0,0.0,0.00421898,0.007847616,0.027048656
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.027278186,0.0,6.05e-05,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],0.0,0.044834587,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.000225887,2.86e-05,0.0,0.030171111,5.08e-05,0.0,0.000160051
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae,0.002597696,0.000171561,0.0,6.05e-05,0.000101662,0.00574755,0.002400768
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.0,0.017556401,0.0,0.0,0.003151527,0.000331589,0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0.0,2.86e-05,0.0,0.0,0.000406649,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.0,0.0,0.000103018,0.000483705,0.0,7.37e-05,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.0,0.0,0.0,0.0,0.001728257,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|Other,0.0,0.0,0.0,0.0,0.0,0.004200133,0.0
