,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.505596009,0.789192219,0.635795283,0.451066461,0.811364442,0.727268876,0.832120944
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.063443905,0.000661588,0.000862329,0.399629057,0.000236267,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.416689141,0.005926729,0.002759453,0.110994333,4.73e-05,0.002309126,0.010816623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,2.25e-05,0.064265959,0.134825163,0.000247295,0.083922032,0.073913228,0.028591309
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.0,0.029495815,0.032294227,6.18e-05,0.013845245,0.017117193,0.016003542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,4.49e-05,0.007259095,0.082093735,0.0,0.037046663,0.019807643,0.001644633
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],0.0,0.021115695,0.023929634,0.0,4.73e-05,0.045652911,0.042602315
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,0.0,0.041836275,0.013064287,0.000226687,0.005883048,0.031204983,0.047219938
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.0,0.003620359,0.024921312,4.12e-05,0.017011223,0.016693501,0.000158138
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.0,0.001047515,0.011727676,2.06e-05,0.007135263,0.006376578,0.000316276
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.007259079,0.0,0.0,0.036496651,0.0,0.0,0.00012651
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,0.0,0.004612741,0.012590006,2.06e-05,0.003638512,0.015316499,0.000632551
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.007874739,0.00206959,0.0,0.002102776,0.001038048,0.01318869
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae,0.0,0.001846934,0.004484112,0.0,0.0,0.032200661,6.33e-05
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.0,0.018368266,0.007588497,0.0,0.000519787,0.002626896,0.000727434
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.0,0.0,0.002931919,0.0,0.016396929,0.001398187,0.00012651
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.0,9.19e-06,0.0,0.0,0.0,0.0,6.33e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,0.004045307,0.000330794,0.000905446,6.18e-05,0.000307147,0.001143971,0.00025302
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.0,9.19e-06,0.000215582,0.0,0.000165387,0.000635539,0.004016699
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae],0.0,0.0,0.002543871,0.0,0.0,0.000423693,0.0
