,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae
0,exp_0,0.0,23841.0,3812.0,395.0,319.0,14.0,7870.0,4698.0,0.0,292.0,63.0,11.0,10.0,1.0,19.0,0.0
1,exp_0,0.0.1,11561.0,3733.0,13460.0,202.0,819.0,4697.0,2143.0,0.0,463.0,105.0,25.0,1.0,1.0,19.0,1.0
2,exp_0,0.0.2,12542.0,2759.0,11115.0,196.0,994.0,1723.0,1717.0,0.0,349.0,131.0,28.0,3.0,0.0,20.0,0.0
3,exp_0,0.0.3,13999.0,6032.0,9172.0,567.0,881.0,1760.0,4803.0,0.0,248.0,407.0,21.0,7.0,0.0,216.0,0.0
4,exp_0,0.0.4,11203.0,6443.0,11436.0,288.0,1173.0,741.0,983.0,0.0,290.0,173.0,34.0,0.0,0.0,57.0,0.0
5,exp_0,0.0.5,12457.0,1747.0,18765.0,420.0,1112.0,465.0,1868.0,0.0,540.0,108.0,22.0,8.0,0.0,50.0,0.0
6,exp_0,0.0.6,22215.0,3410.0,15874.0,1083.0,2590.0,928.0,945.0,0.0,296.0,139.0,15.0,2.0,1.0,53.0,0.0
7,exp_0,0.0.7,22330.0,4995.0,4080.0,2040.0,1925.0,2137.0,298.0,0.0,184.0,110.0,22.0,0.0,0.0,28.0,2.0
8,exp_0,0.0.8,24061.0,4360.0,4196.0,1297.0,2028.0,2479.0,2236.0,0.0,201.0,62.0,7.0,23.0,4.0,29.0,0.0
9,exp_0,0.0.9,19609.0,4678.0,6595.0,1068.0,1643.0,1581.0,170.0,0.0,304.0,59.0,9.0,123.0,26.0,12.0,0.0
10,exp_0,0.0.10,26158.0,7847.0,4855.0,2861.0,1666.0,2465.0,344.0,0.0,266.0,100.0,16.0,23.0,1.0,17.0,0.0
11,exp_0,0.0.11,20844.0,4295.0,9037.0,1056.0,1557.0,1084.0,477.0,0.0,404.0,121.0,4.0,1.0,16.0,27.0,0.0
12,exp_0,0.0.12,22138.0,4200.0,6706.0,1597.0,1118.0,810.0,1644.0,0.0,323.0,94.0,22.0,29.0,2.0,31.0,0.0
13,exp_0,0.0.13,24500.0,4045.0,8115.0,1566.0,809.0,1271.0,1419.0,0.0,242.0,108.0,12.0,128.0,19.0,23.0,1.0
14,exp_0,0.0.14,19587.0,7292.0,6997.0,2012.0,1441.0,1283.0,201.0,0.0,68.0,72.0,29.0,106.0,9.0,6.0,2.0
15,exp_0,0.0.15,18677.0,3331.0,5743.0,1367.0,1414.0,1125.0,3471.0,0.0,133.0,53.0,31.0,139.0,24.0,12.0,4.0
16,exp_0,0.0.16,12065.0,2640.0,11623.0,1006.0,1690.0,760.0,248.0,0.0,157.0,37.0,40.0,6.0,1.0,10.0,0.0
17,exp_0,0.0.17,21724.0,3667.0,4388.0,2195.0,1239.0,1162.0,660.0,0.0,256.0,54.0,40.0,160.0,13.0,24.0,6.0
18,exp_0,0.0.18,18914.0,3775.0,6427.0,1080.0,1094.0,2009.0,1070.0,0.0,162.0,25.0,59.0,158.0,19.0,8.0,4.0
19,exp_0,0.0.19,25521.0,6136.0,2488.0,1272.0,1363.0,1652.0,118.0,0.0,146.0,44.0,20.0,5.0,0.0,8.0,10.0
20,exp_0,0.0.20,17548.0,5921.0,5467.0,1575.0,1068.0,1163.0,167.0,0.0,292.0,28.0,46.0,1.0,0.0,13.0,3.0
21,exp_0,0.0.21,20934.0,5312.0,3.0,2410.0,1208.0,2125.0,1536.0,266.0,307.0,167.0,91.0,1236.0,113.0,9.0,18.0
22,exp_0,0.0.22,21121.0,2650.0,12541.0,1244.0,974.0,403.0,1291.0,0.0,1021.0,65.0,29.0,154.0,244.0,18.0,6.0
23,exp_0,0.0.23,25394.0,3668.0,6110.0,1422.0,1209.0,859.0,608.0,0.0,82.0,47.0,43.0,134.0,8.0,23.0,3.0
24,exp_0,0.0.24,17279.0,4250.0,5834.0,1425.0,639.0,772.0,4611.0,0.0,188.0,117.0,107.0,17.0,2.0,25.0,2.0
25,exp_0,0.0.25,15834.0,3861.0,2940.0,2005.0,512.0,1573.0,463.0,0.0,125.0,29.0,74.0,15.0,2.0,6.0,5.0
26,exp_0,0.0.26,22170.0,3189.0,7114.0,2376.0,927.0,1499.0,277.0,0.0,299.0,66.0,53.0,4.0,3.0,38.0,7.0
27,exp_0,0.0.27,19643.0,2380.0,7941.0,1543.0,550.0,1148.0,984.0,0.0,320.0,74.0,25.0,6.0,2.0,35.0,7.0
28,exp_0,0.0.28,19312.0,4376.0,8346.0,1558.0,1073.0,1019.0,27.0,0.0,254.0,59.0,45.0,130.0,4.0,23.0,5.0
29,exp_0,0.0.29,18378.0,3498.0,6363.0,689.0,1024.0,665.0,1608.0,0.0,225.0,80.0,42.0,5.0,11.0,24.0,6.0
30,exp_0,0.0.30,24081.0,5363.0,8119.0,1579.0,1733.0,1324.0,750.0,0.0,196.0,43.0,44.0,9.0,0.0,24.0,8.0
31,exp_0,0.0.31,24899.0,6085.0,2549.0,3196.0,1549.0,250.0,162.0,572.0,56.0,60.0,56.0,2.0,1.0,7.0,2.0
32,exp_0,0.0.32,18752.0,5862.0,2269.0,4163.0,1469.0,676.0,565.0,492.0,161.0,99.0,197.0,11.0,4.0,14.0,6.0
33,exp_0,0.0.33,16733.0,5423.0,370.0,4666.0,2332.0,621.0,1593.0,381.0,115.0,120.0,121.0,2.0,3.0,5.0,19.0
34,exp_0,0.0.34,15280.0,2721.0,14.0,3662.0,797.0,1194.0,10015.0,143.0,111.0,57.0,52.0,0.0,0.0,9.0,9.0
35,exp_0,0.0.35,18902.0,8006.0,3.0,5117.0,1698.0,959.0,1965.0,1012.0,326.0,107.0,160.0,0.0,0.0,1.0,18.0
36,exp_0,0.0.36,16097.0,5840.0,19.0,2278.0,1456.0,1286.0,5781.0,1281.0,412.0,108.0,76.0,0.0,0.0,30.0,32.0
37,exp_0,0.0.37,13885.0,3723.0,3.0,2341.0,1290.0,2101.0,8836.0,80.0,164.0,53.0,23.0,29.0,73.0,4.0,21.0
38,exp_0,0.0.38,19576.0,6908.0,5.0,2580.0,1412.0,1543.0,3231.0,150.0,152.0,107.0,101.0,12.0,2.0,17.0,21.0
39,exp_0,0.0.39,29356.0,8331.0,25.0,5097.0,2439.0,3088.0,4261.0,375.0,193.0,214.0,316.0,49.0,9.0,24.0,32.0
40,exp_0,0.0.40,22953.0,5605.0,20.0,3657.0,3204.0,2898.0,5242.0,318.0,503.0,369.0,206.0,43.0,144.0,39.0,80.0
41,exp_0,0.0.41,20794.0,7068.0,1.0,3342.0,733.0,1533.0,753.0,555.0,183.0,206.0,91.0,0.0,3.0,13.0,16.0
42,exp_0,0.0.42,15324.0,11396.0,19.0,5961.0,556.0,629.0,2133.0,105.0,260.0,927.0,1172.0,22.0,17.0,88.0,9.0
43,exp_0,0.0.43,18889.0,5936.0,1608.0,3323.0,1537.0,2432.0,2202.0,562.0,219.0,271.0,223.0,3.0,6.0,40.0,42.0
44,exp_0,0.0.44,15685.0,7250.0,1454.0,3318.0,1386.0,2269.0,299.0,782.0,200.0,375.0,264.0,80.0,19.0,37.0,42.0
45,exp_0,0.0.45,13844.0,2672.0,7041.0,1008.0,1052.0,1128.0,406.0,439.0,165.0,99.0,75.0,55.0,71.0,34.0,32.0
46,exp_0,0.0.46,17042.0,8954.0,955.0,1331.0,1104.0,699.0,71.0,1994.0,215.0,377.0,124.0,20.0,7.0,74.0,13.0
47,exp_0,0.0.47,20591.0,7636.0,6199.0,2539.0,1407.0,689.0,164.0,875.0,137.0,628.0,208.0,44.0,187.0,43.0,48.0
48,exp_0,0.0.48,22767.0,3827.0,1989.0,1647.0,1482.0,1577.0,46.0,770.0,169.0,167.0,93.0,307.0,26.0,30.0,7.0
