,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Catabacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
0,exp_0,0,27542.0,1158.0,8293.0,60.0,160.0,7.0,48.0,10.0,454.0,26.0,117.0,2040.0,0.0,585.0,2.0,3.0,0.0,0.0,8.0,27.0
1,exp_0,1,19452.0,1088.0,9924.0,222.0,156.0,11.0,381.0,15.0,479.0,1.0,273.0,506.0,0.0,343.0,4.0,7.0,22.0,0.0,53.0,21.0
2,exp_0,2,23604.0,1874.0,7324.0,53.0,336.0,263.0,238.0,4.0,453.0,3.0,329.0,2785.0,0.0,451.0,2.0,1.0,5.0,0.0,8.0,11.0
3,exp_0,3,27395.0,1749.0,10361.0,7.0,1769.0,36.0,5.0,2.0,1312.0,0.0,111.0,289.0,0.0,286.0,9.0,0.0,0.0,0.0,0.0,9.0
4,exp_0,4,14286.0,2544.0,10139.0,1306.0,912.0,179.0,8041.0,1986.0,1865.0,0.0,388.0,539.0,0.0,185.0,66.0,10.0,131.0,0.0,78.0,34.0
5,exp_0,5,12435.0,2257.0,5143.0,1541.0,780.0,161.0,4853.0,8448.0,3022.0,1.0,147.0,1348.0,0.0,186.0,138.0,12.0,113.0,0.0,83.0,8.0
6,exp_0,6,15180.0,3455.0,4498.0,442.0,1510.0,348.0,2294.0,2872.0,1179.0,0.0,119.0,417.0,2.0,157.0,65.0,5.0,31.0,0.0,70.0,19.0
7,exp_0,7,22258.0,4831.0,3708.0,549.0,2452.0,540.0,86.0,312.0,1159.0,0.0,87.0,199.0,5.0,484.0,9.0,1.0,5.0,0.0,2.0,13.0
8,exp_0,8,26146.0,4634.0,3117.0,601.0,1999.0,315.0,2.0,4.0,712.0,0.0,65.0,73.0,0.0,460.0,7.0,1.0,0.0,0.0,0.0,5.0
9,exp_0,9,10250.0,2130.0,2368.0,1719.0,621.0,118.0,9404.0,3018.0,850.0,0.0,87.0,2494.0,0.0,270.0,72.0,70.0,47.0,0.0,475.0,14.0
