,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__
0,exp_0,0,27542.0,1158.0,8293.0,60.0,160.0
1,exp_0,1,19452.0,1088.0,9924.0,222.0,156.0
2,exp_0,2,23604.0,1874.0,7324.0,53.0,336.0
3,exp_0,3,27395.0,1749.0,10361.0,7.0,1769.0
4,exp_0,4,14286.0,2544.0,10139.0,1306.0,912.0
5,exp_0,5,12435.0,2257.0,5143.0,1541.0,780.0
6,exp_0,6,15180.0,3455.0,4498.0,442.0,1510.0
7,exp_0,7,22258.0,4831.0,3708.0,549.0,2452.0
8,exp_0,8,26146.0,4634.0,3117.0,601.0,1999.0
9,exp_0,9,10250.0,2130.0,2368.0,1719.0,621.0
10,exp_0,10,21541.0,3669.0,3359.0,1336.0,2149.0
11,exp_0,11,10586.0,2086.0,2674.0,6185.0,584.0
12,exp_0,12,22209.0,6024.0,7690.0,3228.0,1960.0
13,exp_0,13,17093.0,5841.0,4054.0,1532.0,934.0
14,exp_0,14,7698.0,4947.0,6591.0,2719.0,369.0
15,exp_0,15,8289.0,4510.0,3355.0,1626.0,464.0
16,exp_0,16,14663.0,8136.0,6383.0,1530.0,1443.0
17,exp_0,17,10154.0,4699.0,4167.0,2899.0,719.0
18,exp_0,18,3972.0,1443.0,1425.0,3193.0,169.0
19,exp_0,19,25093.0,6777.0,6917.0,2547.0,2324.0
20,exp_0,20,3983.0,2266.0,2420.0,2729.0,324.0
21,exp_0,21,20180.0,4546.0,6259.0,1783.0,1890.0
22,exp_0,22,18949.0,5125.0,5429.0,929.0,1736.0
23,exp_0,23,17340.0,4237.0,8114.0,788.0,1356.0
24,exp_0,24,21302.0,5206.0,4751.0,1423.0,2235.0
25,exp_0,25,21739.0,4282.0,6079.0,1933.0,2344.0
26,exp_0,26,17311.0,6592.0,6846.0,1517.0,1716.0
27,exp_0,27,15840.0,6826.0,6193.0,1292.0,1673.0
28,exp_0,28,23116.0,5011.0,7478.0,1428.0,1983.0
29,exp_0,29,22248.0,4637.0,6263.0,1186.0,1882.0
30,exp_0,30,21606.0,6270.0,4960.0,1830.0,2052.0
31,exp_0,31,20109.0,2984.0,7905.0,700.0,2003.0
32,exp_0,32,4406.0,2379.0,2823.0,2739.0,480.0
33,exp_0,41,13186.0,5081.0,9220.0,1216.0,2311.0
34,exp_0,42,16185.0,4839.0,6985.0,1910.0,5644.0
35,exp_0,43,18323.0,4266.0,4948.0,1860.0,3704.0
36,exp_0,44,8302.0,2943.0,3850.0,1624.0,1316.0
37,exp_0,45,17042.0,4327.0,5195.0,1453.0,2061.0
38,exp_0,46,14910.0,4663.0,4424.0,888.0,1891.0
39,exp_0,47,14310.0,1361.0,1961.0,208.0,1652.0
40,exp_0,48,18613.0,2189.0,4957.0,522.0,1989.0
41,exp_0,49,16847.0,3364.0,4154.0,518.0,1803.0
42,exp_0,50,6786.0,3764.0,6731.0,655.0,554.0
43,exp_0,52,25074.0,3040.0,5389.0,1362.0,1931.0
44,exp_0,53,5500.0,3464.0,6245.0,2218.0,406.0
45,exp_0,56,19535.0,4910.0,3786.0,1505.0,2217.0
46,exp_0,57,18263.0,3217.0,2820.0,1383.0,847.0
47,exp_0,58,20243.0,4083.0,3917.0,1569.0,1089.0
48,exp_0,59,19042.0,3035.0,4241.0,1200.0,1162.0
49,exp_0,60,17848.0,6548.0,5348.0,1430.0,1284.0
50,exp_0,61,20497.0,6354.0,5338.0,1383.0,1960.0
51,exp_0,62,26361.0,6207.0,5862.0,1950.0,2627.0
52,exp_0,64,21275.0,8637.0,7157.0,2459.0,905.0
53,exp_0,65,20173.0,5982.0,10381.0,2202.0,1069.0
54,exp_0,66,20682.0,5915.0,7550.0,2394.0,1631.0
55,exp_0,67,17289.0,6827.0,6253.0,1919.0,1593.0
56,exp_0,68,15446.0,4626.0,9355.0,1455.0,1483.0
57,exp_0,69,15406.0,4414.0,10243.0,1419.0,1228.0
58,exp_0,70,24384.0,6527.0,8512.0,2488.0,2157.0
59,exp_0,71,21050.0,5143.0,9243.0,2243.0,1754.0
60,exp_0,72,3158.0,3759.0,4879.0,2431.0,452.0
61,exp_0,73,23136.0,4454.0,6043.0,2685.0,2424.0
62,exp_0,79,25756.0,3263.0,6851.0,1269.0,1831.0
63,exp_0,80,19279.0,6849.0,8513.0,1287.0,1269.0
64,exp_0,81,28338.0,5482.0,5451.0,1566.0,2243.0
65,exp_0,82,27671.0,6396.0,7388.0,1134.0,1934.0
66,exp_0,83,29892.0,5318.0,4839.0,1135.0,1965.0
67,exp_0,84,13431.0,3958.0,2924.0,1560.0,1245.0
68,exp_0,86,21738.0,5903.0,6157.0,1546.0,2265.0
69,exp_0,87,23168.0,2614.0,4374.0,1092.0,2560.0
70,exp_0,88,24668.0,3626.0,6110.0,1214.0,2878.0
71,exp_0,89,23564.0,3078.0,6334.0,1196.0,2887.0
72,exp_0,90,23340.0,4126.0,5899.0,1215.0,3553.0
73,exp_0,91,22404.0,4168.0,6900.0,1075.0,2458.0
74,exp_0,92,26104.0,4842.0,5806.0,1529.0,2308.0
75,exp_0,93,24269.0,5128.0,4799.0,1524.0,2435.0
76,exp_0,95,12050.0,6233.0,5844.0,1638.0,1443.0
77,exp_0,96,19180.0,6381.0,5789.0,1355.0,1979.0
78,exp_0,97,13176.0,7111.0,8627.0,1218.0,1341.0
79,exp_0,98,19301.0,4363.0,7625.0,904.0,2080.0
80,exp_0,99,22827.0,3674.0,6798.0,1007.0,2573.0
81,exp_0,100,13988.0,2486.0,2031.0,625.0,8719.0
82,exp_0,101,26859.0,4353.0,6202.0,1507.0,2630.0
83,exp_0,102,20445.0,3996.0,4065.0,1504.0,2737.0
84,exp_0,103,19748.0,4485.0,4379.0,1750.0,2141.0
85,exp_0,104,20670.0,4657.0,4145.0,1432.0,2736.0
86,exp_0,105,8713.0,6845.0,7606.0,1546.0,1107.0
87,exp_0,112,15575.0,4475.0,7998.0,1845.0,1569.0
88,exp_0,113,17993.0,4672.0,6569.0,2316.0,2294.0
89,exp_0,114,23250.0,5904.0,6845.0,3094.0,3226.0
90,exp_0,115,22410.0,6011.0,7358.0,2657.0,2050.0
91,exp_0,117,18114.0,5348.0,6427.0,1665.0,1876.0
92,exp_0,118,19395.0,3921.0,5205.0,1143.0,1464.0
93,exp_0,120,27426.0,6793.0,6836.0,1194.0,1740.0
94,exp_0,121,20261.0,5993.0,6486.0,1385.0,1302.0
95,exp_0,122,19791.0,6816.0,6889.0,1616.0,1267.0
96,exp_0,123,18225.0,6649.0,6126.0,2100.0,1697.0
97,exp_0,124,18513.0,5648.0,6101.0,2153.0,2392.0
98,exp_0,125,18858.0,6661.0,7832.0,1720.0,1736.0
99,exp_0,126,16549.0,6581.0,10114.0,1655.0,1255.0
