Experiments,Time,s1
mono_exp_1,0.0,0.07088860053426943
mono_exp_1,16.0,0.23221000533106925
mono_exp_1,32.0,0.23385415536311166
mono_exp_1,48.0,0.23375551738546965
mono_exp_2,0.0,0.09253176128119843
mono_exp_2,16.0,0.23379969424681002
mono_exp_2,32.0,0.2333726374509355
mono_exp_2,48.0,0.2332979068487196
mono_exp_3,0.0,0.010403524682807808
mono_exp_3,16.0,0.21445337693407476
mono_exp_3,32.0,0.23289943878533828
mono_exp_3,48.0,0.23364092069048828
mono_exp_4,0.0,0.046280594101799286
mono_exp_4,16.0,0.23176337557942142
mono_exp_4,32.0,0.2322825508151567
mono_exp_4,48.0,0.23379961772578964
mono_exp_5,0.0,0.02959649160924719
mono_exp_5,16.0,0.2291707745110532
mono_exp_5,32.0,0.23294687893103036
mono_exp_5,48.0,0.23355304206879673
mono_exp_6,0.0,0.0036570639182359477
mono_exp_6,16.0,0.20000876175535842
mono_exp_6,32.0,0.2339770450046528
mono_exp_6,48.0,0.23226671404002658
mono_exp_7,0.0,0.0013015774072553127
mono_exp_7,16.0,0.12362660385146648
mono_exp_7,32.0,0.23321359693216645
mono_exp_7,48.0,0.2340744538857865
mono_exp_8,0.0,0.021247266272451847
mono_exp_8,16.0,0.22509242237432261
mono_exp_8,32.0,0.23338191345918394
mono_exp_8,48.0,0.23572865289885697
mono_exp_9,0.0,0.09632317650685147
mono_exp_9,16.0,0.23303777568667752
mono_exp_9,32.0,0.2351749610089417
mono_exp_9,48.0,0.23367674022925655
mono_exp_10,0.0,0.03720292427798584
mono_exp_10,16.0,0.23016604948885086
mono_exp_10,32.0,0.23369202834861444
mono_exp_10,48.0,0.23411555698235786
mono_exp_11,0.0,0.018482672956845466
mono_exp_11,16.0,0.22113979710362483
mono_exp_11,32.0,0.2336201130794406
mono_exp_11,48.0,0.23164754495564727
mono_exp_12,0.0,0.1005847350563292
mono_exp_12,16.0,0.23317397562276024
mono_exp_12,32.0,0.23311865237734192
mono_exp_12,48.0,0.23450255453182603
mono_exp_13,0.0,0.08768493751285855
mono_exp_13,16.0,0.23266034413243242
mono_exp_13,32.0,0.23472118231480227
mono_exp_13,48.0,0.23634200723396567
mono_exp_14,0.0,0.05416941388690286
mono_exp_14,16.0,0.23165866689534517
mono_exp_14,32.0,0.2338900344799464
mono_exp_14,48.0,0.23466499242859876
mono_exp_15,0.0,0.04132502822137414
mono_exp_15,16.0,0.22871166908583151
mono_exp_15,32.0,0.23329649333734487
mono_exp_15,48.0,0.2341191859589074
mono_exp_16,0.0,0.03471468582037704
mono_exp_16,16.0,0.22837506033622804
mono_exp_16,32.0,0.23323330499677677
mono_exp_16,48.0,0.23309139344262492
mono_exp_17,0.0,0.06138285263441548
mono_exp_17,16.0,0.23103172582513146
mono_exp_17,32.0,0.23280990817907948
mono_exp_17,48.0,0.23280542987527747
mono_exp_18,0.0,0.07443497302589823
mono_exp_18,16.0,0.23357911292259223
mono_exp_18,32.0,0.23434339444475014
mono_exp_18,48.0,0.2352903255688884
mono_exp_19,0.0,0.05039043337841309
mono_exp_19,16.0,0.23066211995295444
mono_exp_19,32.0,0.23485014340413823
mono_exp_19,48.0,0.23382315148772825
mono_exp_20,0.0,0.014360121984923173
mono_exp_20,16.0,0.221378679768942
mono_exp_20,32.0,0.23230190429873698
mono_exp_20,48.0,0.2353006848859304
mono_exp_21,0.0,0.02695760563308948
mono_exp_21,16.0,0.22579268521554596
mono_exp_21,32.0,0.23401908963820206
mono_exp_21,48.0,0.23427622846646867
mono_exp_22,0.0,0.08522827521845164
mono_exp_22,16.0,0.23341114795602264
mono_exp_22,32.0,0.2343386409540475
mono_exp_22,48.0,0.2349225249536165
mono_exp_23,0.0,0.0669326875781518
mono_exp_23,16.0,0.2313582392517399
mono_exp_23,32.0,0.23270557810438314
mono_exp_23,48.0,0.23458972765016395
mono_exp_24,0.0,0.05793374441334896
mono_exp_24,16.0,0.2310644923061877
mono_exp_24,32.0,0.23379347472875625
mono_exp_24,48.0,0.23291728669037134
mono_exp_25,0.0,0.07843560759200886
mono_exp_25,16.0,0.23157803470377752
mono_exp_25,32.0,0.234308404574977
mono_exp_25,48.0,0.23506406313659034
