Experiments,Time,s1,s2,s3,s4,s5
exp_1,0.0,0.09246333099552603,0.026179179386533767,0.06456824389980291,0.03330653310980219,0.011694398085148282
exp_1,16.0,0.2038737986398798,0.01103925838234677,0.12832406044382336,0.31744907915550336,0.23484942383494853
exp_1,32.0,0.19914101633190368,0.001,0.10994252787443862,0.3265904555626356,0.24068443853504584
exp_1,48.0,0.2023030950465603,0.001,0.10503956073849048,0.327993232184677,0.2398510343816707
exp_2,0.0,0.07416820391957506,0.0029747542028719276,0.05338028606182559,0.07251351963769352,0.019601963559748206
exp_2,16.0,0.20546715993451886,0.0012541374754802285,0.11612901805790427,0.32195545713173385,0.23732968038392574
exp_2,32.0,0.20124100678515525,0.001,0.10486602713726764,0.32796702003367334,0.239585384283654
exp_2,48.0,0.20006855341983604,0.001,0.10715851693960544,0.3279058562820107,0.23946428334290276
exp_3,0.0,0.09965581211154108,0.07145404428840076,0.07473977558481541,0.031824255945026324,0.09683054561269268
exp_3,16.0,0.20166401927809138,0.008763892231629666,0.12014135133545661,0.3223161462932706,0.24133950707277935
exp_3,32.0,0.2003988171834331,0.002170328545485013,0.10581699355950125,0.3259313119994659,0.23844215403813634
exp_3,48.0,0.20134313589649552,0.001832798092320664,0.10753379371850619,0.32610059272601016,0.2396086433177335
exp_4,0.0,0.07768190393048725,0.03934865754514833,0.005442362268556013,0.021771359457719193,0.09098751924376139
exp_4,16.0,0.19021313448392171,0.009259303095763501,0.08887710793368656,0.3291025886675273,0.23671544255770943
exp_4,32.0,0.19922883032966288,0.0010815370208521048,0.10578072395276339,0.32655997197756226,0.2406938234736403
exp_4,48.0,0.2024828915318066,0.0010187445878880655,0.10754562945560772,0.328766494279515,0.2403152711823874
exp_5,0.0,0.07779686715882475,0.09748807574857192,0.07008651078913292,0.09694992856879768,0.06890991363266964
exp_5,16.0,0.1954081894420755,0.014163324485982563,0.1158827387892673,0.32378727850596595,0.2363583906598487
exp_5,32.0,0.19984912697894958,0.0026839110926982655,0.10788273094435762,0.32493112996035894,0.2416173154465276
exp_5,48.0,0.20100704721418003,0.0013625986165370623,0.10503614031826072,0.32771660307366746,0.23956527729501972
exp_6,0.0,0.06014446680501712,0.06550314241503062,0.05195822175542132,0.028862962512323505,0.09113681667247417
exp_6,16.0,0.19882252022457575,0.009233688353457049,0.11826084474940479,0.3238083069466536,0.23926092947911218
exp_6,32.0,0.19943115026746364,0.001,0.10909176132604108,0.32813486011413984,0.24042369454803572
exp_6,48.0,0.20089154860113434,0.001,0.10536499275860459,0.32751801941540026,0.2405440907153126
exp_7,0.0,0.02168316638052291,0.004030313207442607,0.025039463847485677,0.09791743951120281,0.051860509299045884
exp_7,16.0,0.19315250549167498,0.003544009877782214,0.09627375897276769,0.3330727976834339,0.23478952284914903
exp_7,32.0,0.20265741297752887,0.001,0.10665875330865819,0.3273297975721847,0.23974054277962273
exp_7,48.0,0.20304480425635682,0.001,0.10764339950534116,0.32905364230537587,0.24046443526622396
exp_8,0.0,0.09962643992097601,0.03235529432815096,0.028788030614501373,0.0502658200089208,0.0020091459569870325
exp_8,16.0,0.20630841249148843,0.023360331342442323,0.1336590047802754,0.3113147813113107,0.20971515464129287
exp_8,32.0,0.2015403644443473,0.004973612205908197,0.11016447177299446,0.3270450158183168,0.2406938109533019
exp_8,48.0,0.2004672976432366,0.001,0.10753259922329826,0.3262876386280975,0.2394976794800632
exp_9,0.0,0.014826663708825774,0.07441243788734794,0.021471449018669396,0.08059291208624045,0.08541579903646045
exp_9,16.0,0.17708091521458236,0.019594960892814015,0.09618427079288745,0.3352085706861855,0.2338817001277489
exp_9,32.0,0.20033921659612347,0.002755962598543442,0.10772230302348382,0.3269559944144158,0.2386241711641511
exp_9,48.0,0.20068982512032818,0.001926314212005546,0.10812011433054823,0.3264439609561021,0.23967059772280322
