,Feature ID,G_rhiz_CK_T0,G_rhiz_CK_T1,G_rhiz_CK_T2,G_rhiz_CK_T3,G_rhiz_CK_T4,G_rhiz_CK_T5,G_rhiz_CK_T6
0,473513e82d97dd4f6ebf65334fb08060,0.0,0.0,0.0,0.0,0.0,1.75,0.0
1,58738b7c9e86d0e83a8c3f33c6778e93,103.16666666666667,74.75,60.75,119.5,161.0,40.75,69.0
2,72d78ad803e3cfc73fca6825e5fcddc1,55.5,47.75,95.0,125.5,70.75,32.75,37.25
3,349e7bae357fa56a37a4ded5e9957761,598.8333333333334,481.5,85.0,124.75,28.5,25.0,3.0
4,de8c577f5cb65e7c7f85cb5e3bf423ec,83.5,120.0,102.25,121.0,86.75,39.75,68.0
5,253a7230f2465f29a4f710bbbf490c22,47.666666666666664,200.0,112.5,260.25,123.5,91.25,23.75
6,6efd604b3790fbd0947a6b767cae8ac4,33.333333333333336,41.75,89.0,154.25,92.5,54.25,53.75
7,33912d87bf459f6d72002098f6f232a9,92.16666666666667,80.5,53.75,87.75,29.0,16.5,15.25
8,9a2ef70567ad24f72d3cec09715e5bb0,86.33333333333333,139.0,77.0,65.25,35.5,0.0,8.0
9,4c95b2739dcd0edfc15db0ce8453fecc,46.0,57.5,92.25,109.25,54.0,36.25,22.0
10,df84fc8bb4693ad5e425dd42a2e8ee08,57.166666666666664,58.75,66.75,123.25,94.25,78.75,39.75
11,aaa06e5aa8245ee7e8e508b7d1df7028,67.83333333333333,74.0,61.5,71.25,41.75,37.0,38.0
12,9db2817f5c42be6a7bcbca662959982d,46.333333333333336,49.0,61.0,48.5,52.0,30.5,35.75
13,acc215698f8ae3c2845dc2c5f44bd411,51.166666666666664,63.0,78.25,54.0,84.0,18.25,18.5
14,7229e860327e0b1c2f0e645a7b111f38,44.0,49.75,45.5,79.5,58.5,31.5,51.0
15,589ca139639d15257887fb5bac23f661,36.5,28.75,31.75,75.0,40.75,39.0,41.5
16,8408541b4e7f0b0be94da6e21ce3e1d6,54.833333333333336,58.5,62.75,89.25,31.25,13.5,17.25
17,078e585a48076444ed03b7859fc60c14,37.0,59.5,71.25,83.25,37.25,15.25,35.75
18,120ccd175a43ed23faa777789d884610,27.333333333333332,49.75,94.25,84.5,36.25,8.75,22.0
19,c1c8de4b40861c51578dd8cf6cb1ce9e,54.5,70.0,52.5,72.75,36.5,5.25,9.0
20,e09f0c090da2c5fcad70ec1ca871ae47,44.666666666666664,64.75,94.5,110.5,54.25,4.25,0.0
21,8d2a29d23de2d1b6cada06bf85915274,24.333333333333332,21.25,30.75,32.5,57.5,20.75,8.5
22,d9c6ee6936a8ebb811b7a5e1ff8c6f7e,32.0,28.75,67.0,74.0,46.75,20.25,65.5
23,ff7108c91975fb8420457b7fe8024c43,43.5,53.0,42.5,66.25,28.75,17.5,9.75
24,0ea80e83a31dd35e8aa1fc2e6be6ec2b,10.0,1.5,13.25,194.75,53.25,15.25,5.0
25,a3cdddcf97ba97640caca0d9668a05ee,30.0,50.5,46.75,74.25,40.25,23.5,22.0
26,8d85e378dfc4bbe62536e0271dd28a68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,a26f53d090cdc6a1486230d30a581990,50.666666666666664,64.5,34.0,44.5,33.75,5.75,0.0
28,4890cabd725abe9f83546ac033daaa51,14.0,23.25,25.5,85.25,41.75,24.25,51.75
29,96b8e2198c8fe34cbe148202a10e8d53,37.833333333333336,42.75,35.25,72.75,24.0,7.5,27.75
30,714b0378efe0b8744e24aa04b48008d3,24.166666666666668,111.25,37.25,142.0,61.5,39.75,5.0
31,bfc2abce2c4f9d358133f634f50932e4,59.333333333333336,76.0,45.75,50.5,33.5,19.0,16.25
32,cbc0c30fb9f8a01dfeadbf1688c38683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8cb24777cb48dde0aac60dfeca125d10,39.666666666666664,57.75,52.0,56.25,49.5,25.25,19.5
34,6dc9aab8ba8539fc0ec4e234dd9ccf5c,22.666666666666668,12.75,32.75,58.75,27.75,17.25,6.5
35,d1e7c970dac89bea848fc295abeb8624,70.83333333333333,63.75,39.0,51.25,10.0,0.0,0.0
36,547fde65dab2782e3cd9228d659445c8,63.5,78.5,32.5,42.0,51.5,8.25,4.75
37,0f9f869c9171dd56be05ca14140259c7,37.666666666666664,39.25,31.75,76.75,21.75,8.0,29.5
38,10a86d8ec01825ba9d76513b074043b7,31.0,34.25,31.25,28.5,41.0,28.0,22.5
39,8344a44d849396d790bddf5cbf2dc8a1,44.666666666666664,81.75,40.0,49.0,36.0,3.0,7.0
40,ecb62957ff67af84333ec48921ea1008,23.0,59.75,42.0,36.25,47.75,4.5,2.25
41,d7aebc8360445d673258e139860a8fe0,14.166666666666666,23.75,31.0,32.25,36.5,37.25,32.25
42,0da7e268ee14c85762fb5aaaa748be86,38.166666666666664,34.5,27.75,30.75,34.5,0.0,22.25
43,35103dda67ac751395da211a95519a94,31.833333333333332,77.75,33.5,61.5,19.75,0.0,0.0
44,a5dac93d833ffed5cc4b63b014165dfa,28.0,39.75,24.75,49.0,34.25,10.0,18.0
45,1af7714dbabbf72124bde4b49eb0f623,41.0,69.0,29.25,38.75,16.0,3.5,5.0
46,a03915b95cb79fd7bf3b9bc1839b083b,11.5,42.5,11.0,69.75,34.25,1.25,9.25
47,ba7218b132b38160edc35cd925a6843e,41.166666666666664,47.75,16.5,52.0,39.0,8.75,6.5
48,8b28efe737885898d7f4d0604f6eba03,31.666666666666668,63.75,40.5,59.5,45.5,20.25,25.25
49,c1a2687f43aaad14068b482726cad80f,29.833333333333332,13.0,21.0,34.25,43.5,14.5,20.5
50,d0ae8f1ef34f36d30e5b3ad42e3717df,27.5,15.5,49.5,40.0,30.75,6.0,17.75
