OTU ID,1,2,3,4,5,6,7
d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__uncultured archaeon; f__uncultured archaeon,0.0,0.0,0.0,0.75,0.0,0.0,0.0
d__Archaea; p__Crenarchaeota; c__Verstraetearchaeia; o__Methanomethyliales; f__Methanomethyliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Diapherotrites; c__Iainarchaeia; o__Iainarchaeales; f__uncultured archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Diapherotrites; c__Micrarchaeia; o__uncultured archaeon; f__uncultured archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,0.0,0.0,0.0,0.0,0.75,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales; f__Methanocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Marine Group II; f__uncultured archaeon,0.0,0.0,3.25,0.0,32.75,8.5,3.75
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Methanomassiliicoccales; f__uncultured,0.0,0.0,1.5,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__uncultured; f__uncultured archaeon,0.0,0.0,1.75,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Nanohaloarchaeia; o__Aenigmarchaeales; f__uncultured archaeon,0.0,0.0,0.5,5.0,1.25,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Nanohaloarchaeia; o__Deep Sea Euryarchaeotic Group(DSEG); f__uncultured archaeon,0.0,0.0,0.0,6.25,1.0,0.75,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15; f__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15,2.1666666666666665,4.0,6.75,5.0,11.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Pacearchaeota archaeon CG1_02_31_27; f__Candidatus Pacearchaeota archaeon CG1_02_31_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7; f__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
