OTU ID,1,2,3,4,5,6,7
d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__uncultured archaeon; f__uncultured archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Crenarchaeota; c__Verstraetearchaeia; o__Methanomethyliales; f__Methanomethyliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Diapherotrites; c__Iainarchaeia; o__Iainarchaeales; f__uncultured archaeon,0.0,0.0,0.0,0.5,0.5,0.0,0.0
d__Archaea; p__Diapherotrites; c__Micrarchaeia; o__uncultured archaeon; f__uncultured archaeon,0.0,0.75,0.0,0.0,6.75,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales; f__Methanocellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Marine Group II; f__uncultured archaeon,0.0,3.0,0.0,2.5,30.0,14.75,0.0
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Methanomassiliicoccales; f__uncultured,0.0,3.75,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__uncultured; f__uncultured archaeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Nanohaloarchaeia; o__Aenigmarchaeales; f__uncultured archaeon,0.0,1.0,0.0,0.0,2.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Nanohaloarchaeia; o__Deep Sea Euryarchaeotic Group(DSEG); f__uncultured archaeon,0.0,0.0,1.25,3.25,8.75,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15; f__Candidatus Amesbacteria bacterium GW2011_GWC1_47_15,2.1666666666666665,16.5,10.0,12.25,18.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Pacearchaeota archaeon CG1_02_31_27; f__Candidatus Pacearchaeota archaeon CG1_02_31_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7; f__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured archaeon; f__uncultured archaeon,0.3333333333333333,0.0,4.25,3.25,17.5,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured crenarchaeote; f__uncultured crenarchaeote,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Nanoarchaeaeota; c__Woesearchaeia; o__uncultured euryarchaeote; f__uncultured euryarchaeote,23.166666666666668,23.25,38.75,110.5,149.25,5.25,0.0
d__Archaea; p__Thaumarchaeota; c__Group 1.1c; o__uncultured archaeon; f__uncultured archaeon,0.0,1.5,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Thaumarchaeota; c__Group 1.1c; o__uncultured thaumarchaeote; f__uncultured thaumarchaeote,0.0,3.5,0.0,0.0,0.0,0.0,0.0
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae,43.0,55.0,82.25,193.25,190.5,29.0,2.25
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae,14.0,15.0,8.0,21.0,23.75,3.0,1.5
d__Archaea; p__Thaumarchaeota; c__Nitrososphaeria; o__Nitrosotaleales; f__Nitrosotaleaceae,0.0,13.5,0.0,0.0,1.5,0.0,0.0
d__Bacteria; p__Acidobacteria; c__AT-s3-28; o__uncultured bacterium; f__uncultured bacterium,0.0,0.0,0.0,5.75,1.25,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1),0.5,1.25,0.0,6.5,1.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__uncultured,8.166666666666666,21.0,11.5,31.75,35.5,9.5,3.75
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Solibacterales; f__Solibacteraceae (Subgroup 3),131.83333333333334,105.0,166.25,173.0,164.75,19.75,9.25
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 12; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 13; f__uncultured bacterium,0.0,1.5,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Subgroup 2; f__uncultured bacterium,1.1666666666666667,6.75,0.0,5.75,0.0,0.0,0.0
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__11-24; f__uncultured bacterium,0.8333333333333334,6.0,12.5,17.25,14.75,5.0,3.75
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__Blastocatellales; f__Blastocatellaceae,82.0,52.75,82.0,59.75,63.75,11.0,0.0
d__Bacteria; p__Acidobacteria; c__Blastocatellia (Subgroup 4); o__DS-100; f__uncultured bacterium,1.1666666666666667,0.0,9.0,7.5,0.0,0.0,0.0
