SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Acidobacteria|c__Acidobacteria-6,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,k__Bacteria|p__Acidobacteria|c__Solibacteres,k__Bacteria|p__Acidobacteria|c__Sva0725,k__Bacteria|p__Acidobacteria|c__[Chloracidobacteria],k__Bacteria|p__Actinobacteria|c__Acidimicrobiia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__MB-A2-108,k__Bacteria|p__Actinobacteria|c__Nitriliruptoria,k__Bacteria|p__Actinobacteria|c__OPB41,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Armatimonadetes|c__,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Bacteroidetes|c__VC2_1_Bac22,k__Bacteria|p__Bacteroidetes|c__[Rhodothermi],k__Bacteria|p__Bacteroidetes|c__[Saprospirae],k__Bacteria|p__Chlorobi|c__OPB56,k__Bacteria|p__Chloroflexi|c__Anaerolineae,k__Bacteria|p__Chloroflexi|c__C0119,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria,k__Bacteria|p__Chloroflexi|c__S085,k__Bacteria|p__Chloroflexi|c__TK10,k__Bacteria|p__Chloroflexi|c__Thermomicrobia,k__Bacteria|p__Cyanobacteria|Other,k__Bacteria|p__Cyanobacteria|c__,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__ML635J-21,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Cyanobacteria|c__Oscillatoriophycideae,k__Bacteria|p__Cyanobacteria|c__Synechococcophycideae,k__Bacteria|p__Elusimicrobia|c__Elusimicrobia,k__Bacteria|p__FBP|c__,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Gemmatimonadetes|c__Gemm-3,k__Bacteria|p__Gemmatimonadetes|c__Gemm-5,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes,k__Bacteria|p__Nitrospirae|c__Nitrospira,k__Bacteria|p__Planctomycetes|c__Phycisphaerae,k__Bacteria|p__Planctomycetes|c__Planctomycetia,k__Bacteria|p__Proteobacteria|Other,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Proteobacteria|c__TA18,k__Bacteria|p__SR1|c__,k__Bacteria|p__Spirochaetes|c__Spirochaetes,k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__,k__Bacteria|p__TM7|c__TM7-1,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Verrucomicrobia|c__Opitutae,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__WS3|c__PRR-12,k__Bacteria|p__[Thermi]|c__Deinococci
H160S6Y9.04,0,0,0,0,0.00010305,0,0.000180338,0.584243611,0,0.000437964,0,0,0.000437964,0,0,0,0.001365416,0.000515251,0.001468467,0,0,0,0,0,0,0,0.000231863,0,0,0,0,0,0,0.000283388,0,0,0,0,0,0.000437964,0,0.206100577,0.003993199,2.58E-05,0,0,0,0,0,0,0,0,0,0.00350371,0.195177246,0.001107791,0,0.000283388,0,0,0,0,0,0,0,0,0,0,0,0,0.00010305
J160S903.04,0,0,0,0,0,0,0,0.000804998,0.001382497,0,0,0,0,0,0,0,0.017307457,0,0.000279999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680520799,0.072519819,0,0,0,0,0,0,0,0,0,0,0.000175,0.050592374,0,0.000332499,0.17608456,0,0,0,0,0,0,0,0,0,0,0,0,0
K160R985.04,0,0,0,0,0,0,0,0.621533978,0,0,0,0,0,0,0,0,7.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63E-05,0.377848965,0.000157546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328222,0,0,0,0,0,0,0,0,0,0,0,0,2.63E-05
J160S010.04,0,0.00210371,0,0,0,0,0.002786733,0.657696301,0,0,0.00028687,0,0.001297743,0,0,0,0.003251188,0,0.006625321,0.000628381,0,0,0,0,0,0,0,0,0,0.000327851,0,0,0,0,0,0,0,0,0,0,0,0.262349052,0.007281023,0,0,0,0,0,0,0,0,0,0,0.002868696,0.051049123,0.000833288,0,0,0,0,0,0,0.000614721,0,0,0,0,0,0,0,0
G160TPYP.04,0,0,0,0,0,4.67E-05,0,0.415850941,0,0,0,0,0,0,0,0,0.001633396,0,5.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547735997,0.002205085,0,5.83E-05,0,0,0,0,0,0,0,0,8.17E-05,0.000338346,0,0,0.031991226,0,0,0,0,0,0,0,0,0,0,0,0,0
F160S601.04,0,0.004059062,0,0,0,0,0.011588917,0.291428908,0,0,0,0,0,0,0,0,0.016589211,0,0.00176481,0.005529737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037061,0,0,0,0,0,0,0,0.415347962,0.022354256,0,0.02979587,0,0,0,0,0,0,0,0,0.046296841,0.10982999,0,0,0.038090476,0,0,0,0,0,0,0.00361786,0,0,0,0,0,0
E160VM8V.04,0,0,0,0,0,0,0,0.199208369,0,0,0,0,0,0,0,0,0.011916879,0,0.00132881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007873904,0,0,0,0,0,0,0,0.474229573,0.020610687,0,0.002374894,0,0,0,0,0,0,0,0,0.006318914,0.069691829,0,0.001611535,0.203208934,0,0,0,0,0,0,0.001625671,0,0,0,0,0,0
C160SBJS.04,0,0,0,0,0,0,0.000343767,0.171831761,0,0,0,0,0.001839152,0,0,0,0.007030028,0.000395332,0.00051565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101772117,0.00577528,0,0.002836075,0,0,0,0,0,0,0,0,0.005036181,0.052802558,0.000962547,0,0.647484488,0,0,0,0,0,0,0,0,0,0,0,0.000154695,0.001220372
H160S2KY.04,0,0,0,0,0,0,0,0.300084146,0.000136454,0,0,0,0,0,0,0,0.007823338,0,0.001398649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442553046,0.01156444,0,0.001921721,0,0,0,0,0,0,0,0,1.14E-05,0.156000546,0,0,0.078403948,0,0,0,0,0,0,9.10E-05,0,0,0,0,0,1.14E-05
A160RYFF.04,0,0,0,0,0,0,0,0.745209302,0,0,0,0,0,0,0,0,0.002790698,0,0.000576744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232893023,0.009209302,0.000427907,0.00027907,0,0,0,0,0,0,0,0,0.000483721,0.006213953,0,0,0.001451163,0,0,0,0,0,0,0,0,0,0,0,0,0.000465116
A160TQMV.04,0,0,0,0,0,0,0,0.00209351,0,0,0,0,0,0,0,0,1.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551166938,0.009630147,0,0.000418702,0,0,0,0,0,0,0,0,0,0.003008452,0,0,0.433356595,0,0,0,0,0,0,0,0,0,0,0,0,0.00031015
F160S11D.04,0,0,0,0,0,0,0,0.50248946,0,0,0,0,0,0,0,0,0.007611453,0,0.000114458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413460254,0.018732951,0,0.00186948,0,0,0,0,0,0,0,0,0.000228916,0.000553213,0,0,0.054882585,0,0,0,0,0,0,5.72E-05,0,0,0,0,0,0
K160X7TC.04,0,0,0,0,0,0,0,0.1279054,0,0,0,0,0,0,0,0,0.031678013,0,0.001057742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16758428,0.016896748,0,0.002413821,0,0,0,0,0,0,0,0,0.000135608,0.029020097,0,0,0.614981964,0,0.005885384,0,0,0,0,0.001410322,0,0,0,0,0,0.00103062
K160X7V8.04,0,0,0,0,0,0,0,0.328998301,0,0,0,0,0,0,0,0,0.0213317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22117018,0.012503829,0,0.002339246,0,0,0,0,0,0,0,0,0,0.034782367,0,0,0.378874377,0,0,0,0,0,0,0,0,0,0,0,0,0
