SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
J160TKZ0.03,0,0,0.05513206,0.038189463,0,0,0,0.133220216,0,0,0,0,0,0,0.017890784,0.735930034,0.000436665,0.000224571,0,0,0,0,0,0.009157486,0.00558931,0,0,0,0,0,0.004229411,0,0
D160TL08.03,4.34E-05,0,0.046220008,0.020286413,0,0,0,0.31404121,0,0,0,0,0,0,0.085605479,0.508376653,8.69E-05,0.002128553,0,0,0,0.00906445,0,0.008847251,0.005285183,0,0,0,0,0,1.45E-05,0,0
G160QY9R.03,0,0,0.057053247,0.024805759,0,0,0,0.097170148,0,0,0,0,0,0,0.001910329,0.431235298,0,0.005673961,0,0,0,0.003122104,0,0.001026445,0.375621926,0,0,0,0,0,0.002380783,0,0
A160T94J.03,0.000156846,0,0.017786282,0.03031824,0,0,0,0.000470537,0,0,0,0,0,0,0.021346676,0.836394435,0.001442979,0,0,0,0,0,0,0.014382734,0.068463071,0,0,0,0,0,0.009238201,0,0
C160SYJK.03,1.33E-05,0,0.047995746,0.004267766,0,0,0,0.000983846,0,0,0,0,0,0,0.000678056,0.934108888,0.00061158,0,0,0,0,0,0,2.66E-05,0.011314233,0,0,0,0,0,0,0,0
D160RXDT.03,0,0,0.038929218,0.053997115,0,0,0,0.251001855,0,0,0.000698436,0,0,0,0.000423641,0.460738739,0.000389292,1.14E-05,0,0,0,0.006560718,0.003858572,0.000240445,0.177242437,0,0,4.58E-05,0,0,0.005862282,0,0
K160TL2F.03,0,0,0.064042944,0.002353887,0,0,0,0.034274888,0,0,0,0,0,0,0.044867379,0.832787921,0.000200942,0,0,0,0,0,2.87E-05,0.003416006,0.016706855,0,0,0,0,0,0.001320473,0,0
C160SW2B.03,1.61E-05,0,0.015682865,0.012156635,0,0,0,0.259282517,0,0,1.61E-05,0,0,0,0.034650436,0.553151064,0,0.026036132,0,0,0,0.005683831,0.003896564,0.072183042,0.017244711,0,0,0,0,0,0,0,0
B160T2L7.03,0.00017061,0,0.006687898,0.0991697,0,0,0,0.002149682,0,0,0,0,0,5.69E-05,0.013000455,0.716264786,0.000909918,0,0,0,3.41E-05,0,0,0.000284349,0.161271611,0,0,0,0,0,0,0,0
B160SZ50.03,0,0,0.002620075,0.036253568,0,0,0,0.16860874,0,0,0.002413227,0,0,0,0.002689025,0.774825213,8.27E-05,0.002358068,0,0,0,0.005640057,0.001282458,0.00103424,0.002054691,0,0,0,0,0,0.000137899,0,0
K160SJSS.03,0,0,0.004497102,0.009771481,0,0,0,0.139465678,0,0,0.000177663,0,0,0,0.012569677,0.692242777,0.000144351,0.0019654,0,0,0,0.011437074,0.004497102,0.016156255,0.106464723,0,0,0,0,0,0.000610718,0,0
D160TBMP.03,0,0,0.002696707,0.017232146,0,0,0,0.150996443,0,0,0.000210381,0,0,0,0.057510615,0.565600734,1.91E-05,0.117928317,0,0,0,0.010117431,0.008855143,0.010748575,0.012297747,0,0.045691007,0,0,0,9.56E-05,0,0
E160SYKG.03,1.34E-05,0,0.090890867,0.005532836,0,0,0,0.092761874,0,0,0,0,0,0,0.015168524,0.761018897,0.008820463,0,0,0,0,0,0.000601395,0.001710635,0.023481143,0,0,0,0,0,0,0,0
C160QYN5.03,0.000931428,0,0.000624882,0.001367666,0,0,0,1.18E-05,0,0,0,0,0,0.000129693,0.014266176,0.699349179,0,1.18E-05,0,0,0,1.18E-05,0,0.008418223,0.274641577,0,0,0,0.000235805,0,0,0,0
G160SRKH.03,0.000150568,0,0.154558458,0.025988105,0,0,0,0.033094933,0,0,0,0,0,0,0.005842054,0.728193932,0.001099149,1.51E-05,0,0,0,0,0.003658812,0.000767899,0.046631032,0,0,0,0,0,0,0,0
C160QX72.03,0.000164553,0,0.025478231,0,0,0,0,6.86E-05,0,0,0,1.37E-05,0,0,0.084374357,0.602934522,0,0,0,0,0,0,0,0,0.286966061,0,0,0,0,0,0,0,0
C160SRJG.03,3.36E-05,0,0.021115531,0.00547191,0,0,0,0.00046998,0,0,0,0,0,0,0.00396126,0.840290716,0.000386055,0,0,0,0,0,0,0,0.128270977,0,0,0,0,0,0,0,0
C160W558.03,8.14E-05,0,0.007518185,0.015779033,0,0,0,0.230235516,0,0,0,0,0,0,0.029319904,0.575420927,0.000213643,3.05E-05,0,0,0,0.008362582,0,0.000132255,0.132895875,0,0,0,1.02E-05,0,0,0,0
B160QGVP.03,0.010555213,0,0.530138877,0.002466308,0,0,0,0.000264247,0,0,0,0,0,0,0.020728735,0.283889721,0,0.005842802,0,0,0,0,0,0,0.146114096,0,0,0,0,0,0,0,0
B160S0BW.03,0.000464416,0,0.059543747,0.010780078,0,0,0,0.008134315,0,0,0,0,0,0,0.046807493,0.671263915,0,0.001224369,0,0,0,0,0.001477687,0,0.200303981,0,0,0,0,0,0,0,0
E160R9VS.03,4.12E-05,0,0.115873424,0.002233085,0,0,0,0.000216105,0,0,0,0,0,3.09E-05,0.010918446,0.839053254,0,0,0,0,0,0,0.000267559,0,0.031366092,0,0,0,0,0,0,0,0
H160QC64.03,0.004620314,0,0.376443238,0.004620314,0,0,0,0.008635005,0,0,0,0,0,0,0.011584973,0.236563971,0,0.006720456,0,0,0,0,0,9.77E-06,0.350801961,0,0,0,0,0,0,0,0
J160QX65.03,0.00033997,0,3.19E-05,0.009731636,0,0,0,3.19E-05,0,0,0,0,0,0,0.034379449,0.497035888,0,0,0,0,0,0,0,0.002815375,0.455633937,0,0,0,0,0,0,0,0
J160T95F.03,8.91E-05,0,0.058293338,0.013647185,0,0,0,0.00044557,0,0,0,0,0,0,0.032819442,0.789576199,0.00066199,0,0,0,2.55E-05,0,0.000305534,0,0.094524576,0,0,0,0,0,0.00961159,0,0
A160QF7X.03,0.012462887,0,0.326464272,0.012650652,0,0,0,0.001267412,0,0,0,0,0,0,0.012063887,0.359064931,0,0.001678148,0,0,0,0,0,0,0.274347811,0,0,0,0,0,0,0,0
K160QMJN.03,0.000170529,0,0.009085397,0.000341058,0,0,0,0.143566326,0,0,0,0,0,0,0.005617978,0.496494685,0,0.011207534,0,0,0,0,0,0,0.333516494,0,0,0,0,0,0,0,0
C160QL7D.03,0.00042324,0,0.056932153,0.006835963,0,0,0,0.045094267,0,0,0,0,0,0,0.005194306,0.720238553,0,0.012120046,0,0,0,0,0,0.000718225,0.152443247,0,0,0,0,0,0,0,0
G160T2M4.03,1.32E-05,0,0.074510632,0.042752868,0,0,0,0.002230699,0,0,0,0,0,0,0.005886934,0.841712755,0.00065997,6.60E-05,0,0,0,0,0.000263988,0,0.031784163,0,0,1.32E-05,0,0,0.000105595,0,0
C160VFKP.03,6.11E-05,0,0.025385521,0.008635051,0,0,0,0.060598187,0,0,0,0,0,0,0.020112791,0.774174321,0.000229249,0.000519631,0,0,0,0.010759426,0,3.06E-05,0.099494124,0,0,0,0,0,0,0,0
H160WS9F.03,1.30E-05,0,0.098314131,0.035357678,0,0,0,0.141925405,0,0,0,0,0,0,0.00449131,0.672772245,0.000130183,0,0,0,0,0.001861616,0,0,0.045134414,0,0,0,0,0,0,0,0
K160SYDC.03,2.51E-05,0,0.015256849,0.038730851,0,0,3.76E-05,0.139641502,0,0,0,0,0,0,0.030025178,0.523906154,0,0,0,0,0,0.000313154,0,0,0.252063683,0,0,0,0,0,0,0,0
E160W921.03,2.99E-05,0,0.019838601,0.037981021,0,0,0,0.299925278,0,0,0,0,0,0,0.004625271,0.545318688,0.000112082,0,0,0,0,0.005992677,0,0,0.086176493,0,0,0,0,0,0,0,0
J160Q2CZ.03,0.000102785,0,0.008531195,0,0,0,0,0,0,0,0,0,0,0,0.037516703,0.353787645,0,0.000205571,0,0,0,0.001747353,0,0,0.128276287,0,0,0,0.46983246,0,0,0,0
K160WS3N.03,0,0,0.026021795,0.009332711,0,0,0,0.232247262,0,0,0,2.74E-05,0,0,0.003650737,0.681123219,0.000466636,0,0,0,0,0.025610057,0,2.74E-05,0.021163295,0,0,0.00032939,0,0,0,0,0
A160Q1FC.03,0,0,0.000655126,0,0,0,0,3.28E-05,0,0,0,0,0,0,0.074602421,0.156296575,0,0,0,0,0.000163781,0,0,0,0.764760797,0,0,0,0.003488543,0,0,0,0
E160QT0M.03,0.000177378,0,0.049705355,0,0,0,0,0,0,0,0,0,0,0,0.026439228,0.742909793,0,0,0,0,0,0,0,0,0.180768245,0,0,0,0,0,0,0,0
C160R1LL.03,0,0,0.17187064,0.008836935,0,0,0,0.203662936,0,0,0,0,0,0,0.001188594,0.504842227,0.000124027,0.061744855,0,0,0,0.01497628,0.002025777,0.00234618,0.028278193,0,0,0,0,0,0.000103356,0,0
K160RQGH.03,4.62E-05,0,0.111504731,0.0163051,0,0,0,0.187272098,0,0,0,0,0,0,0.00213478,0.644772675,2.31E-05,0.014735749,0,0,0,0.009981537,0.003323333,0.00407339,0.005827371,0,0,0,0,0,0,0,0
F160QPHJ.03,0.000101177,0,0.023131695,0,0,0,0,3.79E-05,0,0,0,0,0,0,0.044631904,0.037878309,1.26E-05,0,0,0,0,0,0,0,0.894206326,0,0,0,0,0,0,0,0
J160QGRC.03,0.00010696,0,0.035983279,0,0,0,0,5.35E-05,0,0,0,0,0,0,0.024698951,0.697703024,0,0,0,0,0,8.91E-06,0,0,0.241445392,0,0,0,0,0,0,0,0
B160QM2M.03,0.000120875,0,0.000148769,0,0,0,0,3.72E-05,0,0,0,0,0,0,0.015062902,0.511887605,0,0,0,0,0,0,0,0.000753145,0.471989512,0,0,0,0,0,0,0,0
H160QSL1.03,0.000904686,0,0.000145582,0,0,0,0,0,0,0,0,0,0,0,0.144728906,0.575099307,0,0,0,0,0,0,0,0.001653391,0.277468128,0,0,0,0,0,0,0,0
D160Q7CX.03,0.000132745,0,0.000851779,0.000940276,0,0,0,5.53E-05,0,0,0,0,0,0,0.289925774,0.321972588,0,0,0,0,0,0,0,0,0.386121528,0,0,0,0,0,0,0,0
J160QKDT.03,1.00E-05,0,0.000672056,0,0,0,0,0,0,0,0,0,0,0,0.004393444,0.471603106,0,0,0,0,0,0,0,0,0.523321363,0,0,0,0,0,0,0,0
J160QV3F.03,0.000230791,0,0.000609947,0,0,0,0,6.59E-05,0,0,0,0,0,0,0.043215575,0.594187369,0,8.24E-06,0,0,0,0,0,0.000585219,0.361088673,0,0,0,0,0,0,0,8.24E-06
B160QSHB.03,0,0,0.022309507,0.007064442,0,0,0,0.256184919,0,0,0,0,0,1.41E-05,0.001540048,0.610509064,0.000155418,0.052714865,0,0,0,0,0.003758283,0.00012716,0.045608037,0,0,0,0,0,1.41E-05,0,0
A160Q97M.03,2.71E-05,0,0.001070954,0.006222379,0,0,0,0.010804436,0,0,0,0,0,0,0.00393135,0.230255131,0,0.020456579,0,0,0,0,1.36E-05,0.000122007,0.727096494,0,0,0,0,0,0,0,0
E160QPFQ.03,0.000533948,0,0.001262059,2.43E-05,0,0,0,0.000279109,0,0,0,0,0,0,0.218967296,0.109726352,0,1.21E-05,0,0,0,4.85E-05,0,0.026988654,0.642145501,0,0,0,0,0,0,0,1.21E-05
G160Q69Y.03,0,0,8.35E-06,0,0,0,0,0,0,0,0,0,0,0,0.477454977,1.67E-05,0,0,0,0,0,0,0,0,0.522519964,0,0,0,0,0,0,0,0
K160QLY3.03,0.000394016,0,0.050147457,0,0,0,0,1.19E-05,0,0,0,0,0,0.000680573,0.032834645,0.666447769,0,0,0,0,0,0,0,0,0.249483601,0,0,0,0,0,0,0,0
E160QV4B.03,0.000566666,0,0.104168906,0,0,0,0,0,0,0,0,0,0,0,0.044600549,0.551698534,0,0,0,0,0,0,0,0,0.298965345,0,0,0,0,0,0,0,0
D160TFQB.03,0.000359219,0,0.030507031,0.000199566,0,0,0,0.049306175,0,0,0,0,0,2.66E-05,0.016630523,0.414911592,0,1.33E-05,0,0,0,0,0,0,0.487806501,0,0,0.00023948,0,0,0,0,0
D160SJDG.03,7.96E-05,0,0.002488454,9.95E-06,0,0,0,0.203844163,0,0,0,0,0,0,0.131748686,0.036759436,0,0,0,0,0,0,0,9.95E-06,0.625049769,0,0,0,9.95E-06,0,0,0,0
G160QKHJ.03,0.000675971,0,0.039961828,0,0,0,0,0,0,0,0,0,0,0.000583191,0.075695521,0.540989039,0,0,0,0,0,0,0,0,0.34209445,0,0,0,0,0,0,0,0
B160SZ8D.03,0.001002777,0,0.038090096,0.017941993,0,0,0,0.040820734,0,0,0,0,0,0.000293119,0.013838322,0.735035483,0,0.000323974,0,0,0,0.004427646,0,0,0.148164147,0,6.17E-05,0,0,0,0,0,0
K160SHMP.03,0.003029018,0,0.000218089,1.21E-05,0,0,0,0,0,0,0,0,0,0,0.222317805,0.023117465,0,0,0,0,0,0,0,0,0.751305507,0,0,0,0,0,0,0,0
H160STV8.03,0,0,0.00892333,0.024958486,0,0,0,0.076317952,0,0,0,0.000100639,0,0,0.032942518,0.650983747,0,0,0,0,0,0,0,0,0.205773327,0,0,0,0,0,0,0,0
E160SWNP.03,1.05E-05,0,0.019982112,0.042100279,0,0,0,0.01548903,0,0,0,0,0,0,0.001588888,0.848003367,0,0.001662545,0,0,0,0.00082075,0,2.10E-05,0.070321461,0,0,0,0,0,0,0,0
C160SMD9.03,0,0,0.004375983,0,0,0,0,0.004386328,0,0,0,0,0,0,0.095899197,0.640124555,0,0,0,0,0,0.000765538,0,0,0.254448399,0,0,0,0,0,0,0,0
F160TWTF.03,0,0,0.006153173,0.012431284,0,0,0,0.008089705,0,0,0,0.003904298,0,0,0.410669665,0.206709145,0,0,0,0,0.001030735,0,0,3.12E-05,0.35098076,0,0,0,0,0,0,0,0
