SampleID,Unclassified|Other|Other,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia,k__Bacteria|p__Bacteroidetes|c__[Saprospirae],k__Bacteria|p__Chlorobi|c__OPB56,k__Bacteria|p__Chloroflexi|c__Anaerolineae,k__Bacteria|p__Chloroflexi|c__Ktedonobacteria,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__ML635J-21,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__GN02|c__3BR-5F,k__Bacteria|p__GN02|c__BD1-5,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__SR1|c__,k__Bacteria|p__Spirochaetes|c__Spirochaetes,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
G160SRK8.04,0,0,0,0.003926676,1.94E-05,0,0,0.029897168,0,0.000894194,0.000291585,0,0,0,0,0,0,0,0,0.899811442,0.036039889,0.000622048,0.003829481,0,0,0,0.018719748,0,0.001127461,0.004470968,5.83E-05,0,0.000291585,0,0,0
J160SVP4.04,0,0,0,0.000491441,0.007999563,0,0,0.028257843,0,0.000300325,0,0,0,0,0,0,0,0,0,0.831763453,0.124443716,0,0.002730226,0,0,0,0,0,0.004013433,0,0,0,0,0,0,0
C160SRG0.04,0,0,0,0.001562213,2.30E-05,0,0,0.05770998,0,0.00160816,0,0,0,0,0,0,0,0,0,0.78861882,0.019343871,0.000114869,0.101727624,0,0,0,0.027223856,0,0.00062029,0.001194633,0,0,0.000252711,0,0,0
J160SKKM.04,0,0,0,0.004062598,0.021886533,0,0,0.00557892,0,0,0,0,0,0,0,0,0,0,0,0.934740938,0.027951821,0,0,0,0,0.000743856,0.000114439,0,0.004920894,0,0,0,0,0,0,0
F160T884.04,0,0,0,0.001579493,0,0,0,0,0,0.000904918,0,0,0,0,0,0,0,0,0,0.991888646,0.005626944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E160T0GR.04,0,0,0,0.000143779,4.79E-05,0,0,0.000159755,0,0.000479264,0,0,0,0,0,0,0,0,0,0.99067033,0.007668222,0,0.00052719,0,0,0,0,0,0.000303534,0,0,0,0,0,0,0
F160SGBR.04,0,0,0,0.00051484,0,0,0,0.030324092,0,0.000283162,0,0,0,0,0,0,0,0,0,0.891600381,0.031405257,0,0.000926712,0,0,0,0.044404973,0,0,0.000540582,0,0,0,0,0,0
F160SBCG.04,0,0,0,0.003636096,2.46E-05,0,0,0.031422745,0,0.000466796,0,0,0,0,0,0,0,0,0,0.93509078,0.028695674,0,0.00041766,0,0,0,0,0,0.000147409,0,0,0,9.83E-05,0,0,0
G160SL0Q.04,0,0,0,0.005808281,9.08E-05,0,0,0.000226886,0,0.001633579,0,0,0,0,0,0,0,0,0,0.977129892,0.014974475,0,0,0,0,2.27E-05,4.54E-05,0,0,6.81E-05,0,0,0,0,0,0
K160SP9B.04,0,0,0,0.015449701,0.000562294,0,0,0.022946957,0,0.01657429,0,0,0,0,0,0,0,0,0,0.824939085,0.043725065,0.001526227,0.014726752,0,0,0,0.010656813,0,0.00747048,0.040110317,0,0,0.00131202,0,0,0
