OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ParticipantID,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|Other|Other|Other|Other,9.64e-06,0.0,0.0,0.0,0.0,0.001002777,1.65e-05,0.0,0.0,0.0,6.11e-05,8.14e-05,7.96e-05,0.000359219,1.05e-05,0.000148001,2.99e-05,0.0,0.0,0.0,0.0003051,9.85e-06,0.0,1.3e-05,0.003029018,2.51e-05,0.0
k__Bacteria|p__Actinobacteria|Other|Other|Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|Other|Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.0,1.43e-05,0.0,0.0,0.0,0.0,8.25e-05,0.0,0.0,0.0,0.01861503,0.004751005,9.95e-06,0.001104267,0.0,0.0,0.019704102,0.0,0.0,0.0,0.009632428,0.0,0.0,0.007472499,0.0,0.0,0.001976339
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.0,0.00411057,0.004465622,0.0,0.0,0.009626658,0.00320132,0.002575933,0.000654805,1.7e-05,0.002002109,0.00029503,0.002408823,0.004350545,0.000220971,0.0,7.47e-06,0.001905297,0.0,0.000865718,0.001351155,0.002009239,0.003572687,0.080609256,0.0,0.012075207,0.003403695
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,9.64e-06,0.0,0.0,0.0,4.04e-05,0.0,8.25e-05,0.0,0.0,0.0,0.00177286,0.002248334,0.0,0.0,0.0,0.0,0.000119555,0.00406047,0.0,0.000274831,8.72e-05,0.0,0.0,0.006756493,1.21e-05,0.0,0.00096072
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.001254125,0.0,0.0,0.0,0.001528328,0.0,1.99e-05,0.001343746,0.0,0.0,0.0,0.0,0.0,0.0,0.000188871,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermacoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dietziaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
