OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ParticipantID,,,,,,,,,,,,,,,,,,,,,,,,
Unclassified|Other|Other|Other|Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|Other|Other|Other|Other,0.0,0.00034389,0.000101327,0.0,0.0,0.0,0.0,0.0,0.00013541,0.0,0.0,7.13e-05,0.0,0.0,0.0,4.46e-05,0.0,0.0,0.0,0.0,3.06e-05,0.0,2.5e-05,0.0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__C111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.0,0.000218839,0.000126659,0.0,0.0,0.0,0.0,0.0,6.25e-05,0.0,0.030885157,0.000713487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001095333,6.12e-05,0.0,0.000274677,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.0,0.014537156,0.003267808,0.0,3.44e-05,0.000661401,0.000138427,0.0,0.000656216,0.0,0.206242151,0.007372702,0.0,0.005157896,0.0,0.000609086,0.0,1.98e-05,1.12e-05,0.002242825,0.004040651,0.00561039,0.007316403,0.004586787
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.0,0.0,0.0,0.0,3.44e-05,0.0,0.0,0.0,0.0,5.47e-05,4.65e-05,2.38e-05,0.0,0.0,0.0,0.00010399,0.0,0.000951041,0.000224313,0.0,0.0,2.08e-05,0.002422154,0.000523055
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermacoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
